,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
,,Vsauce,Quirkology,CGP Grey,Numberphile,danisnotonfire,Marcus Butler,PointlessBlog,ThatcherJoe,Sam,AmazingPhil,Jim Chapman,Alex Day,SevenSuperGirls,FunForLouis,SORTED Food,JacksGap,TomSka,charlieissocoollike,The Slow Mo Guys,Simon's Cat,Eddsworld,Element Animation,YOGSCAST Lewis,KSI,Ali-A,ComedyShortsGamer,YOGSCAST Sjin,YOGSCAST Duncan,OfficialNerdCubed,TotalBiscuit,TheGamingLemon,YOGSCAST Hannah,SyndicateCentral,Did You Know Gaming,YOGSCAST Martyn,MattHDGamer,jackfrags,AtheneWins,ChaBoyyHD,alfiegames,stampylonghead,Sips,wroetoshaw,Zoella,Tanya Burr,Luxy Hair,Sprinkleofglitter,beautycrush,Fleur DeForce,Lisa Eldridge
1,Vsauce,,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Quirkology,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,CGP Grey,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Numberphile,2,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,danisnotonfire,0,0,0,0,,0,1,0,0,30,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Marcus Butler,0,0,0,0,0,,40,6,5,0,8,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,12,2,0,0,0,0,0
7,PointlessBlog,0,0,0,0,1,40,,9,12,1,6,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,5,0,0,0
8,ThatcherJoe,0,0,0,0,0,6,9,,9,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,19,2,0,2,0,0,0
9,Sam,0,0,0,0,0,5,12,9,,9,0,0,0,1,1,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,4,0
