Id,Label,Eccentricity,Closeness centrality,Betweenness centrality,Modality Class,closnesscentrality,betweenesscentrality,Modularity Class
1,Vsauce,4.0,,,,2.6956521739130435,42.0,6
2,Quirkology,0.0,,,,0.0,0.0,0
3,CGP Grey,6.0,,,,4.521739130434782,0.0,6
4,Numberphile,5.0,,,,3.5652173913043477,22.0,6
5,danisnotonfire,5.0,,,,2.1739130434782608,1.301190476190476,1
6,Marcus Butler,5.0,,,,2.0434782608695654,5.215151515151516,12
7,PointlessBlog,5.0,,,,1.826086956521739,20.44062049062049,12
8,ThatcherJoe,5.0,,,,2.0,3.511417748917749,12
9,Sam,5.0,,,,1.826086956521739,22.372925685425685,12
10,AmazingPhil,5.0,,,,2.0434782608695654,5.453571428571429,1
11,Jim Chapman,5.0,,,,1.9130434782608696,6.552886002886003,12
12,Alex Day,4.0,,,,2.217391304347826,1.6666666666666667,1
13,SevenSuperGirls,0.0,,,,0.0,0.0,2
14,FunForLouis,6.0,,,,2.5217391304347827,0.0,3
15,SORTED Food,4.0,,,,1.6521739130434783,45.34428210678211,12
16,JacksGap,5.0,,,,2.0434782608695654,5.641071428571428,3
17,TomSka,3.0,,,,1.9130434782608696,81.66527777777777,6
18,charlieissocoollike,4.0,,,,2.0,10.953968253968252,1
19,The Slow Mo Guys,0.0,,,,0.0,0.0,4
20,Simon\'s Cat,0.0,,,,0.0,0.0,5
21,Eddsworld,4.0,,,,2.869565217391304,0.0,6
22,Element Animation,6.0,,,,2.608695652173913,0.0,12
23,YOGSCAST Lewis,3.0,,,,1.9090909090909092,15.5,11
24,KSI,2.0,,,,1.2,4.5,7
25,Ali-A,3.0,,,,2.090909090909091,2.5,11
26,ComedyShortsGamer,2.0,,,,1.6,0.0,7
27,YOGSCAST Sjin,4.0,,,,2.0,8.5,8
28,YOGSCAST Duncan,3.0,,,,1.8181818181818181,5.5,8
29,OfficialNerdCubed,3.0,,,,2.0,0.0,7
30,TotalBiscuit,4.0,,,,2.8181818181818183,0.0,11
31,TheGamingLemon,0.0,,,,0.0,0.0,9
32,YOGSCAST Hannah,3.0,,,,2.090909090909091,5.5,8
33,SyndicateCentral,3.0,,,,2.0,0.0,7
34,Did You Know Gaming,0.0,,,,0.0,0.0,10
35,YOGSCAST Martyn,3.0,,,,1.7272727272727273,18.5,8
36,MattHDGamer,2.0,,,,1.2,4.5,7
37,jackfrags,3.0,,,,1.7272727272727273,18.5,11
38,AtheneWins,3.0,,,,2.090909090909091,2.5,11
39,ChaBoyyHD,4.0,,,,2.6363636363636362,0.0,11
40,alfiegames,5.0,,,,2.4347826086956523,0.0,12
41,stampylonghead,4.0,,,,2.6363636363636362,0.0,8
42,Sips,4.0,,,,2.4545454545454546,0.0,8
43,wroetoshaw,2.0,,,,1.6,0.0,7
44,Zoella,4.0,,,,1.6956521739130435,42.626695526695535,12
45,Tanya Burr,5.0,,,,2.0,10.103373015873014,12
46,Luxy Hair,0.0,,,,0.0,0.0,13
47,Sprinkleofglitter,5.0,,,,1.826086956521739,28.9842352092352,12
48,beautycrush,6.0,,,,2.608695652173913,0.23809523809523808,12
49,Fleur DeForce,5.0,,,,2.0434782608695654,0.9285714285714285,12
50,Lisa Eldridge,0.0,,,,0.0,0.0,14
