Channel,Number of Collaborations,Subscriber_number
Vsauce,3,"7,426,372"
Quirkology,0,"1,420,622"
CGP Grey,1,"1,342,263"
Numberphile,3,"979,935"
danisnotonfire,35,"3,743,010"
Marcus Butler,79,"2,661,929"
PointlessBlog,84,"2,572,898"
ThatcherJoe,47,"2,364,874"
Sam,31,"2,138,200"
AmazingPhil,38,"1,884,610"
Jim Chapman,44,"1,581,307"
Alex Day,21,"1,060,629"
SevenSuperGirls,0,"1,069,225"
FunForLouis,29,"821,186"
SORTED Food,21,"848,687"
JacksGap,38,"3,604,465"
TomSka,5,"2,947,831"
charlieissocoollike,21,"2,377,552"
The Slow Mo Guys,0,"4,128,832"
Simon\'s Cat,0,"3,040,861"
Eddsworld,0,"751,546"
Element Animation,2,"1,392,222"
YOGSCAST Lewis,45,"7,019,168"
KSI,72,"6,178,099"
Ali-A,2,"4,244,183"
ComedyShortsGamer,59,"2,057,125"
YOGSCAST Sjin,131,"1,886,666"
YOGSCAST Duncan,111,"1,847,106"
OfficialNerdCubed,9,"1,747,610"
TotalBiscuit,25,"1,707,899"
TheGamingLemon,0,"1,495,554"
YOGSCAST Hannah,25,"1,282,563"
SyndicateCentral,1,"1,222,324"
Did You Know Gaming,0,"1,164,977"
YOGSCAST Martyn,28,"1,136,040"
MattHDGamer,20,"970,718"
jackfrags,8,"823,495"
AtheneWins,19,"720,411"
ChaBoyyHD,5,"717,591"
alfiegames,33,"806,859"
stampylonghead,7,"3,121,012"
Sips,4,"1,694,186"
wroetoshaw,7,"1,653,241"
Zoella,102,"5,238,832"
Tanya Burr,36,"2,248,624"
Luxy Hair,0,"1,842,096"
Sprinkleofglitter,42,"1,498,036"
beautycrush,5,"1,277,963"
Fleur DeForce,24,"1,110,037"
Lisa Eldridge,0,"894,583"
